,id,title,type,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
675,tm74538,After the Fox,MOVIE,1966,,108,"['comedy', 'crime', 'european']",0.0,6.4,4192.0,3.9419999999999997,6.0
676,tm74060,The Secret of Santa Vittoria,MOVIE,1969,PG-13,139,"['drama', 'war', 'comedy']",0.0,7.3,3681.0,2.75,6.8
677,tm116331,Where the Lilies Bloom,MOVIE,1974,G,98,"['drama', 'romance', 'family']",0.0,7.3,799.0,1.08,6.3
678,tm97555,Demented,MOVIE,1980,R,87,"['thriller', 'crime', 'horror', 'drama']",0.0,3.9,594.0,2.498,3.3
679,tm66666,Bela Lugosi Meets a Brooklyn Gorilla,MOVIE,1952,,74,"['horror', 'scifi', 'comedy']",0.0,3.7,2449.0,1.1340000000000001,3.7
680,tm12106,Mrs. Pollifax — Spy,MOVIE,1971,G,110,"['comedy', 'action']",0.0,5.6,473.0,2.151,7.3
681,tm80352,"If It's Tuesday, This Must Be Belgium",MOVIE,1969,,105,"['comedy', 'action', 'romance']",0.0,6.3,2147.0,4.552,6.1
682,tm259598,Leo and Loree,MOVIE,1980,PG,97,"['romance', 'drama', 'comedy']",0.0,5.0,59.0,1.4,
683,tm54975,Mutiny,MOVIE,1952,,77,"['action', 'history']",0.0,5.1,395.0,2.129,4.7
684,tm45025,Konga,MOVIE,1961,,90,"['horror', 'scifi', 'fantasy', 'action', 'comedy', 'drama', 'thriller']",0.0,6.2,52.0,2.886,4.3
685,tm58738,Park Row,MOVIE,1952,,83,"['thriller', 'drama']",0.0,7.2,1818.0,2.43,6.7
686,tm12814,Thunderbird 6,MOVIE,1968,G,89,"['scifi', 'action', 'drama', 'family', 'animation']",0.0,6.2,1443.0,1.6,5.8
687,tm129074,The Screaming Skull,MOVIE,1958,,68,"['horror', 'thriller']",0.0,3.8,3535.0,3.6719999999999997,3.9
688,tm121953,Journey to the Center of Time,MOVIE,1967,,82,"['scifi', 'fantasy']",0.0,3.6,764.0,2.015,3.4
689,tm58186,Jack and the Beanstalk,MOVIE,1952,,78,"['comedy', 'fantasy', 'romance', 'family']",0.0,5.8,3144.0,5.352,5.8
690,tm28571,Twice-Told Tales,MOVIE,1963,,120,"['horror', 'scifi', 'romance']",0.0,6.6,2965.0,3.7119999999999997,6.4
691,tm32643,Hollywood Without Make-Up,MOVIE,1963,,50,['documentation'],0.0,7.3,363.0,2.522,6.0
